"full_name","neo","pha","a","e","i","om","w","ma","diameter","extent","rot_per","GM","n","epoch","moid","per_y","producer","last_obs"
"  1864 Daedalus (1971 FA)",Y,N,1.461033919925829,.6142894587044297,22.21279566783513,6.612641552127534,325.6617807786914,34.27522948430842,3.7,,8.572,,.5581020602078237,2460600.5,.269712,1.76603233286853,"Otto Matic",2024-09-29
"  1865 Cerberus (1971 UA)",Y,N,1.079959701420605,.4668257515632528,16.10134163928203,212.887789067275,325.2922263848413,328.3875250213791,1.2,,6.8039,,.8781986167050427,2460600.5,.156672,1.12232730115834,"Otto Matic",2021-10-23
"  1866 Sisyphus (1972 XA)",Y,N,1.8937088553932,.5380220468278326,41.20827048065575,63.45417000133106,293.1153759180343,349.3391217888291,8.48,,2.4,,.378211089702559,2460600.5,.104144,2.60602163765926,"Otto Matic",2024-09-25
"  1915 Quetzalcoatl (1953 EA)",Y,N,2.544305308822753,.5702508335758032,20.40111462081187,162.9346056607496,347.7658217146496,284.4757350548304,0.5,,4.9,,.2428567829406951,2460600.5,.111054,4.05846718149208,"Otto Matic",2020-10-25
"  1916 Boreas (1953 RA)",Y,N,2.272850096549046,.4493304609037367,12.87764466183529,340.6027142055207,335.8615245607147,280.0499112788567,3.5,,3.4746,,.287639075387922,2460600.5,.253297,3.42660774457817,"Otto Matic",2024-05-03
"  1917 Cuyo (1968 AA)",Y,N,2.149265501967769,.5056859272463654,23.96016754704923,188.276495647779,194.5632706968263,34.91833326148356,5.7,,2.689,,.3128016045267173,2460600.5,.0718975,3.15096300371877,"Otto Matic",2023-06-25
"  1943 Anteros (1973 EC)",Y,N,1.430429373177625,.2561211105938557,8.708662579039903,246.2950687062965,338.4561585752549,29.90418602204014,2.3,,2.86923,,.5761087143861058,2460600.5,.0637451,1.71083383874488,"Otto Matic",2024-04-10
"  1980 Tezcatlipoca (1950 LA)",Y,N,1.709652145909218,.3646719380978333,26.8708208305515,246.5449690575455,115.5094132379115,35.05613440876854,4.3,,7.24612,,.4409023771014836,2460600.5,.245309,2.23547509507006,"Otto Matic",2024-09-29
"  1981 Midas (1973 EA)",Y,Y,1.776276404804848,.6504524022220391,39.82114181911287,356.7992148820522,267.8431878776481,258.8082951542606,3.4,,5.22,,.4163305244405071,2460600.5,.00488128,2.36741297000048,"Otto Matic",2023-10-26
"  2059 Baboquivari (1963 UA)",Y,N,2.64154639423138,.5318455253322706,11.02306416160697,200.6880772617029,192.4484166690605,51.32673955368217,,,129.47,,.2295708328607955,2460600.5,.244418,4.2933428044198,"Otto Matic",2022-05-21
"  2061 Anza (1960 UA)",Y,N,2.265156521440894,.5356229486557985,3.800749992379313,207.3598315761575,157.086079709325,283.2558723817103,2.6,,6.712,,.2891057626768652,2460600.5,.0560619,3.40922392636357,"Otto Matic",2024-06-05
"  2062 Aten (1976 AA)",Y,N,.966976895083976,.1829158478537729,18.93487390938056,108.5298126430354,148.0647559360261,338.0301895530932,1.1,,42.15,,1.036525350334651,2460600.5,.114383,0.950894527615112,Giorgini,2019-11-10
"  2063 Bacchus (1977 HB)",Y,N,1.077982427638589,.349428270186775,9.435129841249811,33.04025622766178,55.33823808489866,242.5509886506656,1.024,"1.11 x 0.53 x 0.50",14.904,,.8806159591477909,2460600.5,.0678503,1.11924644690903,"Otto Matic",2024-07-03
"  2100 Ra-Shalom (1978 RA)",Y,N,.8320339939097499,.4365063194319897,15.75480250403173,170.7777484125549,356.075169754352,89.61597729728521,2.3,,19.797,,1.298651042101163,2460600.5,.149968,0.758961608172165,"Otto Matic",2023-07-26
